rep,pitype,biastype,method,AC
10,unequalpi,bias,FUBAR1,0.4566701188423271
10,unequalpi,bias,FUBAR2,0.4566482407373346
10,unequalpi,nobias,FUBAR1,0.4697396486507565
10,unequalpi,nobias,FUBAR2,0.4696806148666891
11,unequalpi,bias,FUBAR1,0.4581039500069306
11,unequalpi,bias,FUBAR2,0.4579948488254679
11,unequalpi,nobias,FUBAR1,0.3813035475169488
11,unequalpi,nobias,FUBAR2,0.3813185455495833
12,unequalpi,bias,FUBAR1,0.3738764513151689
12,unequalpi,bias,FUBAR2,0.3738744873412551
12,unequalpi,nobias,FUBAR1,0.4181044772707129
12,unequalpi,nobias,FUBAR2,0.4179619078095947
13,unequalpi,bias,FUBAR1,0.4202416877208532
13,unequalpi,bias,FUBAR2,0.4202851569345302
13,unequalpi,nobias,FUBAR1,0.3793910544908182
13,unequalpi,nobias,FUBAR2,0.3793927510827396
14,unequalpi,bias,FUBAR1,0.4065835540265718
14,unequalpi,bias,FUBAR2,0.4066112473654522
14,unequalpi,nobias,FUBAR1,0.4737374529598393
14,unequalpi,nobias,FUBAR2,0.4738029391585796
15,unequalpi,bias,FUBAR1,0.4977658791108392
15,unequalpi,bias,FUBAR2,0.4977455397877887
15,unequalpi,nobias,FUBAR1,0.4400209042907397
15,unequalpi,nobias,FUBAR2,0.4400103206841353
16,unequalpi,bias,FUBAR1,0.4743699463185715
16,unequalpi,bias,FUBAR2,0.4743231749739696
16,unequalpi,nobias,FUBAR1,0.5122569354428432
16,unequalpi,nobias,FUBAR2,0.5122997982456668
17,unequalpi,bias,FUBAR1,0.5220976243817617
17,unequalpi,bias,FUBAR2,0.5220995637048504
17,unequalpi,nobias,FUBAR1,0.3613361767261746
17,unequalpi,nobias,FUBAR2,0.3612906143729496
18,unequalpi,bias,FUBAR1,0.4752088587579997
18,unequalpi,bias,FUBAR2,0.4752818071436525
18,unequalpi,nobias,FUBAR1,0.5041547407291973
18,unequalpi,nobias,FUBAR2,0.5041634883736975
19,unequalpi,bias,FUBAR1,0.420915785657186
19,unequalpi,bias,FUBAR2,0.4209027580400677
19,unequalpi,nobias,FUBAR1,0.4258967242006949
19,unequalpi,nobias,FUBAR2,0.4258951784768298
1,unequalpi,bias,FUBAR1,0.3562821267007032
1,unequalpi,bias,FUBAR2,0.3562866120257032
1,unequalpi,nobias,FUBAR1,0.4504920909758848
1,unequalpi,nobias,FUBAR2,0.4503954487952239
20,unequalpi,bias,FUBAR1,0.4034283393774995
20,unequalpi,bias,FUBAR2,0.40342406964327
20,unequalpi,nobias,FUBAR1,0.3636358066749625
20,unequalpi,nobias,FUBAR2,0.3637001057086892
21,unequalpi,bias,FUBAR1,0.4925877476933314
21,unequalpi,bias,FUBAR2,0.4926336774586794
21,unequalpi,nobias,FUBAR1,0.4128378807125027
21,unequalpi,nobias,FUBAR2,0.412904623015849
22,unequalpi,bias,FUBAR1,0.4363536848027064
22,unequalpi,bias,FUBAR2,0.4363768428824306
22,unequalpi,nobias,FUBAR1,0.4998273970647777
22,unequalpi,nobias,FUBAR2,0.4998130710218116
23,unequalpi,bias,FUBAR1,0.5802830269350692
23,unequalpi,bias,FUBAR2,0.5799871847218852
23,unequalpi,nobias,FUBAR1,0.3645052760418268
23,unequalpi,nobias,FUBAR2,0.3643981046370782
24,unequalpi,bias,FUBAR1,0.4551114705995731
24,unequalpi,bias,FUBAR2,0.4551056549291951
24,unequalpi,nobias,FUBAR1,0.3732005116083611
24,unequalpi,nobias,FUBAR2,0.3732061836020651
25,unequalpi,bias,FUBAR1,0.3407933561669466
25,unequalpi,bias,FUBAR2,0.340847514012501
25,unequalpi,nobias,FUBAR1,0.5213350351815491
25,unequalpi,nobias,FUBAR2,0.5213355270830318
26,unequalpi,bias,FUBAR1,0.3818046400220984
26,unequalpi,bias,FUBAR2,0.381956680415489
26,unequalpi,nobias,FUBAR1,0.3943032004081845
26,unequalpi,nobias,FUBAR2,0.3942814422864249
27,unequalpi,bias,FUBAR1,0.4209249335275814
