rep,pitype,biastype,method,mutationtype,mutationrate
10,unequalpi,bias,FUBAR1,AC,0.4566701188423271
10,unequalpi,bias,FUBAR1,GT,0.1708468718732777
10,unequalpi,bias,FUBAR1,CG,0.1495350003487441
10,unequalpi,bias,FUBAR1,AT,0.3072571195462496
10,unequalpi,bias,FUBAR1,CT,1.098767591355121
10,unequalpi,bias,FUBAR2,AC,0.4566482407373346
10,unequalpi,bias,FUBAR2,GT,0.1708609888943282
10,unequalpi,bias,FUBAR2,CG,0.1495398805218879
10,unequalpi,bias,FUBAR2,AT,0.307171184383337
10,unequalpi,bias,FUBAR2,CT,1.098800435738451
10,unequalpi,nobias,FUBAR1,AC,0.4697396486507565
10,unequalpi,nobias,FUBAR1,GT,0.1998466149420823
10,unequalpi,nobias,FUBAR1,CG,0.1854573305321497
10,unequalpi,nobias,FUBAR1,AT,0.243478514752024
10,unequalpi,nobias,FUBAR1,CT,1.238483638838858
10,unequalpi,nobias,FUBAR2,AC,0.4696806148666891
10,unequalpi,nobias,FUBAR2,GT,0.1998474217431714
10,unequalpi,nobias,FUBAR2,CG,0.1855054189283162
10,unequalpi,nobias,FUBAR2,AT,0.2434854673968467
10,unequalpi,nobias,FUBAR2,CT,1.238488780987529
11,unequalpi,bias,FUBAR1,AC,0.4581039500069306
11,unequalpi,bias,FUBAR1,GT,0.218356755503556
11,unequalpi,bias,FUBAR1,CG,0.2597297746040658
11,unequalpi,bias,FUBAR1,AT,0.2711537393734487
11,unequalpi,bias,FUBAR1,CT,1.148623892088887
11,unequalpi,bias,FUBAR2,AC,0.4579948488254679
11,unequalpi,bias,FUBAR2,GT,0.2183511962686636
11,unequalpi,bias,FUBAR2,CG,0.2597253567199709
11,unequalpi,bias,FUBAR2,AT,0.2711268708858861
11,unequalpi,bias,FUBAR2,CT,1.148347009826355
11,unequalpi,nobias,FUBAR1,AC,0.3813035475169488
11,unequalpi,nobias,FUBAR1,GT,0.2150318913370238
11,unequalpi,nobias,FUBAR1,CG,0.1216383321413665
11,unequalpi,nobias,FUBAR1,AT,0.3170059445779063
11,unequalpi,nobias,FUBAR1,CT,0.9422497560605142
11,unequalpi,nobias,FUBAR2,AC,0.3813185455495833
11,unequalpi,nobias,FUBAR2,GT,0.2150330599102602
11,unequalpi,nobias,FUBAR2,CG,0.1216505012004224
11,unequalpi,nobias,FUBAR2,AT,0.3170285127309605
11,unequalpi,nobias,FUBAR2,CT,0.9422550477076147
12,unequalpi,bias,FUBAR1,AC,0.3738764513151689
12,unequalpi,bias,FUBAR1,GT,0.2717526652648085
